lat,long
35.354039,-119.270638
35.513720,-119.317571
40.681384,-112.014860
42.429720,-123.170891
40.647323,-111.915813
32.741557,-117.233471
40.665280,-111.835500
43.683384,-111.911110
36.429513,-121.331901
37.622364,-122.447292
39.069323,-121.690208
40.628753,-121.915711
33.456763,-117.589193
38.496689,-122.759375
32.829629,-117.157263
37.360661,-122.100048
34.940000,-118.350000
40.752330,-111.711670
41.759017,-110.601355
38.330000,-122.679943
36.849910,-121.760000
37.225299,-121.744182
36.850000,-121.760000
38.012173,-121.758176
41.060280,-111.536110
34.508730,-117.918376
40.783443,-112.005202
41.030000,-121.426060
38.020000,-121.979943
38.030671,-121.869086
37.632645,-122.101240
33.253259,-117.085803
0.000578,-0.000097
38.932500,-122.741085
43.251280,-122.337030
41.666940,-109.705220
40.555976,-111.937864
37.805364,-122.231142
37.898253,-122.524418
43.194440,-124.165498
37.322528,-121.796729
39.654564,-121.635353
0.000295,-0.000056
46.221110,-119.096940
40.508310,-109.576521
37.919513,-121.676483
38.075551,-122.540004
35.420000,-118.980000
46.071480,-118.304871
38.496689,-122.759605
39.539554,-122.262889
38.888790,-123.550318
38.618870,-121.793976
37.772595,-120.825604
36.599054,-121.853962
39.440000,-121.390058
40.584693,-112.098952
45.522220,-122.560216
43.305970,-122.502080
39.005520,-121.867233
34.041175,-117.320673
46.451940,-120.426605
41.044440,-111.689000
33.015455,-117.002376
44.851390,-123.200830
41.852780,-111.827720
38.401734,-121.920044
35.570978,-119.115574
41.893420,-112.195970
37.500418,-121.987032
32.694367,-117.142450
35.483209,-119.763695
32.796809,-116.971034
40.748610,-112.652500
41.759273,-110.601702
36.653190,-121.629427
43.154530,-123.372140
37.738787,-122.193720
37.457249,-122.187026
36.620921,-120.177999
36.653594,-121.629627
38.145471,-121.177439
34.088067,-117.525636
33.769910,-118.250108
43.029774,-105.838890
39.174108,-111.030032
38.752789,-122.608529
35.554496,-120.679996
43.018890,-108.410621
0.000252,-0.000135
35.501698,-119.449132
37.746036,-122.403138
41.073610,-111.958390
42.871940,-106.359231
32.754892,-117.126082
39.382780,-111.083948
36.650000,-119.540000
34.422210,-118.572276
42.189440,-120.366110
40.479568,-123.780460
43.210830,-123.318828
36.223078,-120.336917
41.451390,-122.362220
35.373004,-120.855077
46.592113,-120.496682
40.579170,-111.899111
38.709738,-122.908017
42.428610,-123.043610
38.183541,-121.806013
37.365512,-120.578993
33.232063,-117.002231
35.357140,-118.971310
37.340000,-121.740057
33.924705,-116.597189
39.043591,-121.090718
38.126389,-121.774943
39.822220,-111.896310
38.904167,-121.309722
0.000315,-0.000451
36.003703,-119.948802
37.557073,-122.057547
37.763348,-122.214444
33.784527,-116.410476
39.520766,-110.390329
37.979480,-121.316628
37.368200,-121.941592
37.460054,-122.400000
35.388272,-119.004520
39.716173,-121.520952
32.566254,-116.944333
34.282368,-118.900678
0.000454,-0.000336
37.908852,-122.057127
34.075283,-117.517116
36.105683,-118.935391
40.355220,-111.909499
41.831670,-122.004780
42.836533,-105.778809
32.879741,-117.213596
32.941402,-117.032827
45.567560,-122.557734
-0.000661,0.000279
35.380509,-120.040252
36.860000,-121.760056
35.150000,-119.479945
38.780000,-122.669942
32.754892,-117.125972
32.911118,-117.112644
38.777699,-122.740895
43.390000,-106.322500
40.713890,-111.549940
41.683303,-109.903547
35.215923,-120.847655
43.375614,-111.847780
40.766435,-111.860268
39.485430,-121.220509
32.704450,-117.049814
42.511110,-123.413391
45.533384,-122.660000
32.799219,-117.240148
38.780000,-122.670058
40.907373,-112.734967
37.244856,-121.796065
38.739926,-120.677231
37.883220,-112.909580
37.404914,-122.068856
37.340000,-121.739943
35.418611,-119.011389
35.215923,-120.847435
36.508853,-121.446967
36.488691,-119.582345
36.653344,-121.629460
38.239064,-122.636804
36.689983,-121.679239
44.919250,-124.011610
42.576083,-111.743953
42.752310,-105.386250
34.870000,-116.880000
46.622360,-122.915941
34.696829,-120.151374
38.425273,-122.832272
33.206382,-117.253069
33.784527,-116.410368
40.303170,-111.699780
36.764085,-119.735935
41.471621,-110.908926
34.770000,-118.210055
42.747220,-123.410219
40.789722,-111.904641
33.312885,-117.466942
36.719002,-119.765541
38.890364,-121.097660
40.893581,-122.379244
46.609920,-120.495154
37.272743,-120.486751
46.622450,-122.915810
41.759033,-110.601586
39.091887,-121.543000
36.580000,-120.520000
37.477265,-122.168047
35.440764,-119.020670
40.634440,-111.855220
34.986326,-118.739078
36.992167,-121.982254
46.592194,-120.496750
37.433031,-122.202607
38.659619,-120.946878
35.350000,-117.090000
38.420000,-122.780000
37.734694,-121.651886
37.748305,-121.415760
37.662500,-113.110280
35.295028,-119.592215
37.136003,-119.260776
37.360661,-122.099934
40.426330,-111.938001
37.925894,-122.369689
37.322447,-121.796788
39.477030,-110.999862
33.926051,-118.106066
37.691719,-122.455644
36.788034,-119.787488
37.457743,-121.921294
46.622360,-122.915679
37.810000,-121.100000
33.998392,-117.678869
43.714720,-112.220623
42.586280,-121.841530
35.382796,-119.696459
37.850000,-121.240000
35.089761,-118.976591
35.558399,-118.237079
40.755770,-111.903505
43.208890,-123.390830
33.910377,-116.545275
33.645935,-117.977717
36.298510,-119.242447
35.935833,-120.840278
37.991559,-121.348488
41.733138,-108.788670
42.235280,-123.059720
37.780090,-122.380000
33.975915,-118.147996
45.676110,-118.837004
37.303339,-121.840810
37.273333,-118.573333
35.508889,-119.030833
35.008087,-118.163983
38.798879,-121.220655
37.393854,-122.114676
42.431670,-123.298060
32.840122,-117.275284
40.441190,-111.921331
32.733172,-117.173827
38.739746,-120.677231
40.800280,-124.195774
39.019270,-120.830271
37.880000,-122.240057
38.030553,-121.897049
45.677500,-118.782068
36.236577,-120.315114
37.790000,-122.249943
37.303610,-109.548060
33.101092,-117.250343
38.165967,-122.253676
37.790000,-121.360000
38.221667,-121.867778
38.205743,-122.147539
37.780000,-122.380114
34.004191,-117.565067
34.035509,-118.111185
35.785755,-119.866138
40.138393,-122.208608
38.680315,-123.311782
43.455359,-111.368505
37.341025,-121.901177
40.783443,-112.005078
37.415395,-121.888451
37.670912,-122.160056
33.738434,-117.156324
39.531805,-122.185874
37.557073,-122.057665
37.744657,-121.602859
38.020000,-121.980057
44.029720,-112.596110
42.446940,-123.173610
40.706110,-111.950890
38.752789,-122.608644
42.334350,-122.869049
34.079190,-117.240433
36.568933,-119.418641
46.330803,-120.012992
41.867618,-124.139055
35.208404,-119.100307
38.795757,-123.011412
34.307807,-117.323089
38.471453,-123.012075
40.753610,-111.884009
40.692780,-111.958390
36.850090,-121.720000
38.145561,-121.177324
36.599054,-121.854074
34.088067,-117.525528
33.456763,-117.589301
36.952058,-121.760121
41.050000,-112.937500
